filename,label,has_horizon,has_stars,sharp,bright_enough,not_noisy,flickering
J121929p47152_001_010_1029_1058_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1035_1133_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1049_889_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1086_1496_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1086_1669_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1094_1599_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1142_1568_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1160_1403_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1175_1662_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1286_1918_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1328_284_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1342_1531_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_134_617_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1373_620_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1449_1796_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1547_515_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1590_1351_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1590_698_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1639_357_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1663_1535_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1670_1435_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1673_513_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1676_777_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1707_1763_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1723_1506_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1763_872_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1797_777_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1824_59_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1888_204_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1894_680_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1910_885_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1933_155_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1940_1184_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1944_1725_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1948_1093_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1948_785_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_1954_461_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_2002_608_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_277_1879_6.jpg,rejected,False,True,True,True,False,True
J121929p47152_001_010_278_1958_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_300_1154_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_330_1853_6.jpg,acceptable,False,False,True,True,False,True
J121929p47152_001_010_418_1567_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_431_1082_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_43_1660_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_48_1534_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_503_1349_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_506_1574_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_528_1200_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_565_1926_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_586_1163_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_742_1418_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_753_1459_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_822_1527_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_848_1217_6.jpg,rejected,False,False,True,True,False,True
J121929p47152_001_010_951_1530_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1017_838_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1021_61_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1041_1596_6.jpg,rejected,False,False,True,True,False,True
